id,message,created_time,permalink_url,post_impressions
425421338250110_1303951497063752,"2022 was a special and above all magical year. From reuniting with our community and making a lot of new friends to intimate gatherings and steamy raves.

We are beyond grateful for your support, enthusiasm, and the insane amount of energy that all of you brought to our dance floor every single time. Thanks to you we continue to grow our club. ❤️‍🔥

Also a big up to all artists that came to play, and of course to our crew who made all of it possible in the first place.

We look forward to another great year!",2022-12-28T14:29:19+0000,https://www.facebook.com/425421338250110/posts/1303951497063752/,287
425421338250110_1303291460463089,"Running order for the Ratherlost new year kickstart marathon 💥

Ratherlost - New Year's Day
The presale is completely sold out. There will be a very limited door sale at the start of the event. Watch out for ticket scammers, only buy via Ticketswap!",2022-12-27T15:44:05+0000,https://www.facebook.com/1171958854934672/videos/565945254939195,7341
425421338250110_1302520783873490,"The 7-hour journey of Hunee & Antal was the perfect way to get in the festive mood. Time just flew by and the energy on the dance floor was magical from beginning to end. Thanks to everyone that came to dance.

Enjoy your second Christmas day. ✨",2022-12-26T13:51:47+0000,https://www.facebook.com/1171958854934672/videos/2383222808520041,2204
425421338250110_1297219891070246,"As the nights are getting longer, we spend more time gazing at the light. Here are some captures of the lighting designs by Lumus Instruments, transforming the architecture of our warehouse time after time. ✨

We are curious: which one did you like the most?",2022-12-19T16:10:28+0000,https://www.facebook.com/425421338250110/posts/1297219891070246/,183
425421338250110_1293995231392712,"The end of the year is coming really close, and so is the New Years' Weekender of No Art on December 30 & 31. Swipe for the full line-up that will close off this incredible year at our Warehouse. 💫

NYE tickets are completely sold out, but you can still claim your spot on the dance floor for December 30: https://eventix.shop/xr7tk27r",2022-12-15T15:27:42+0000,https://www.facebook.com/425421338250110/posts/1293995231392712/,247
425421338250110_1291493291642906,"During these cold days we long for sunrays, a short pants and some hot summer sessions ❤️‍🔥",2022-12-12T15:38:29+0000,https://www.facebook.com/425421338250110/posts/1291493291642906/,141
425421338250110_1287492385376330,03.12.22 - SLAPFUNK X LOFI,2022-12-07T15:00:37+0000,https://www.facebook.com/425421338250110/posts/1287492385376330/,131
425421338250110_1283824215743147,"The Ratherlost ADE sets of stranger b2b Talismann, Stephanie Sykes , Nørbak and Thoms Traxx have been uploaded today! Relive this epic night via Soundcloud: bit.ly/3Fi7XeN 🔊🔥

Heads up that Ratherlost - New Year's Day is down to the last 150 tickets now. Time to secure your spot 📯

Tracks:
Quelza - Ellipsis
Peter Van Hoesen - Vertical Vertigo",2022-12-02T14:16:18+0000,https://www.facebook.com/1171958854934672/videos/837581334030263,1975
425421338250110_1283105165815052,"When Rush Hour heavyweights Antal and Hunee join forces, you know something special is about to happen. Brace yourself for a 7-hour magical journey through the depths of their incredible record collections.

Pre-register now and be the first to receive notifications about the ticket sale: bit.ly/3B2d9RA

Attend event: Hunee & Antal (all night long) | Lofi",2022-12-01T15:11:40+0000,https://www.facebook.com/425421338250110/posts/1283105165815052/,114
425421338250110_1282326732559562,"This Saturday, another Slapfunk gathering awaits us: SLAPFUNK X LOFI

The booth will be in hands of Doudou MD, Ingi Visions, Mr G (live) and Tristan Da Cunha. Together they will bring some funky energy and swinging beats to our dance floor.

Secure yourself a spot on the dance floor: https://eventix.shop/r7w4eqnw",2022-11-30T14:16:07+0000,https://www.facebook.com/425421338250110/posts/1282326732559562/,103
425421338250110_1276027309856171,"Their light designs have become an inseparable part of our identity. We are talking about our resident light artists, Lumus Instruments, who roam the audiovisual landscape and bridge the region where installation art meets stage design. Through their work, they explore synergetic design principles within the artistic landscape. It shapes the physicality of refined digital systems and investigates how these systems affect our perception of space and time.

The design for ADE used custom-built luminaires that interacted with two lasers, creating a minimalist-futuristic sculpture floating above the dance floor. 

We can't wait to see what else they have in store for us in the future!",2022-11-21T18:13:10+0000,https://www.facebook.com/1171958854934672/videos/803209030770602,1476
425421338250110_1273061663486069,"You may have seen the man during your visit to Lofi, but what you have certainly seen is his beautiful work. Let’s introduce you to our house photographer Martijn. 👇

‘’The images you see were shot during my first months at Lofi, which is actually the first club ever to hire me as a photographer. You can imagine these months were a hustle of trial and error, experimenting with several analog as well as digital cameras. Some fuck ups were made but overall we’ve determined the visual identity of the club during that period. Something that I am very proud of.’'

On Friday, November 25 Martijn will be back in action during the Art Party of Semester9. Tickets are available via link in bio.",2022-11-17T15:15:01+0000,https://www.facebook.com/425421338250110/posts/1273061663486069/,95
425421338250110_1267928113999424,"Precious moments from our ADE collection 🫶

Shot by Clefw Photography",2022-11-10T11:33:14+0000,https://www.facebook.com/425421338250110/posts/1267928113999424/,101
425421338250110_1267420784050157,"Ready to immerse yourself in an experience that playfully alternates between listening sessions and DJ sets with performances, installations and visuals? 

On Friday, November 25th we welcome you to a collaboration from another level: a vibrant party that combines the finest selection of artists from Semester9 with musical talents.

Semester9 | Artparty defines a space where like-minded people can interact, create and cross-pollinate across creative disciplines.

Tickets are now available: https://eventix.shop/ft3vbjaf

*Disclaimer this will not be your typical party.",2022-11-09T15:48:37+0000,https://www.facebook.com/425421338250110/posts/1267420784050157/,86
425421338250110_1264447814347454,We are looking back at ADE with a big smile on our faces! The energy that we created together will be forever in our hearts. Thanks for joining us on the dancefloor. ❤️‍🔥,2022-11-05T09:03:06+0000,https://www.facebook.com/1171958854934672/videos/835219127901002,2604
425421338250110_1261293087996260,"SlapFunk Records returns to our warehouse on Saturday, December 3 👋 

They invited the mighty Mr G with his legendary live set alongside Ingi Visions, Doudou MD and Tristan da Cunha. It's going to be a hot winter night, that's for sure.",2022-10-31T17:03:40+0000,https://www.facebook.com/425421338250110/posts/1261293087996260/,133
425421338250110_597269838858179,,2022-10-28T15:43:17+0000,https://www.facebook.com/425421338250110/posts/597269838858179/?substory_index=597269838858179,40
425421338250110_1258977634894472,"Throwback to last week's Ratherlost ADE madness. A night where everything blended together into that magical dancefloor synergy. Looking back at this we can't wait already for Ratherlost - New Year's Day! ♨

Shout out to Strobert and Lumus Instruments for the visual experience⚡",2022-10-28T14:54:45+0000,https://www.facebook.com/425421338250110/posts/1258977634894472/,98
425421338250110_1257325601726342,"After the unforgettable night last Friday, we are excited to present you the next edition on the 1st of January: Ratherlost - New Year's Day. 
We will be kicking off the year together in style with a 17-hour journey into the depths of our warehouse guided by icons of proper techno. Aiming to reach that collective state of getting lost and finding meaning on the dancefloor.

Limited Phase I tickets are available now via: https://eventix.shop/c3gk4z29

If you want to stay updated on all things Ratherlost + get access to a limited amount of discounted tickets for each event. Join the Ratherlost Telegram channel: https://t.me/+8MRGbFb_-FswMDM0
 
Amazing artwork by Maarten Huizing 🐉",2022-10-26T09:25:44+0000,https://www.facebook.com/425421338250110/posts/1257325601726342/,139
425421338250110_1256774238448145,"While recovering from an incredible edition of ADE, we look back on four unique events. We are overwhelmed by your enthusiasm, energy and feedback. Big up to all the dancers, crew and artists who made this marathon possible. We can’t wait to welcome you back to our dance floor soon 🖤",2022-10-25T14:56:44+0000,https://www.facebook.com/425421338250110/posts/1256774238448145/,88
425421338250110_1255957225196513,"The energy on the dancefloor during the ADE closing ceremony by Job Jobse was pure bliss. Thanks for sharing this moment with us, it wouldn't have been so great without you ❤️‍🔥",2022-10-24T13:02:43+0000,https://www.facebook.com/1171958854934672/videos/1160408874830359,2237
425421338250110_1255119918613577,"The last day of ADE at Lofi is about to start. After Ratherlost, Rush Hour x Rainbow Disco Club and VBX x Sunrise, it’s now time for the grand finale by Job Jobse’s very own Strangelove. See you on the dancefloor ❤️‍🔥",2022-10-23T11:32:25+0000,https://www.facebook.com/1171958854934672/videos/486466383416234,2092
425421338250110_1253714155420820,"Here we go! Three days, four events. Swipe to read the last information for this weekend.",2022-10-21T14:02:51+0000,https://www.facebook.com/425421338250110/posts/1253714155420820/,57
425421338250110_1251484348977134,"A flashback to last years ADE ⚡️

Who is joining us for our third ADE this year? In 3 days we can welcome you back on the floor!",2022-10-18T11:55:56+0000,https://www.facebook.com/425421338250110/posts/1251484348977134/,59
425421338250110_1248522482606654,One week to go! 💛,2022-10-14T11:48:07+0000,https://www.facebook.com/425421338250110/posts/1248522482606654/,69
425421338250110_1247080339417535,"Throwback to the sonic wormhole created by Woody92 at Ratherlost 🌀

Next week the event descends again into Lofi’s misty warehouse on the Friday night of ADE. See you on the floor ⚡",2022-10-12T15:22:06+0000,https://www.facebook.com/1171958854934672/videos/820051589443698,1678
425421338250110_1242929439832625,"Ratherlost ADE presale is sold out! Limited tickets at the door 🔮
Let’s dive in together and get lost on the dancefloor in 2 weeks.
 
Track: Nørbak - Amongst Them (PoleGroup 065)",2022-10-07T15:57:37+0000,https://www.facebook.com/1171958854934672/videos/1150143902526632,2583
425421338250110_1115677739312413,,2022-10-07T11:57:04+0000,https://www.facebook.com/425421338250110/posts/1115677739312413/?substory_index=1115677739312413,28
425421338250110_1242031219922447,"Hereby we proudly present to you the full line-up of Rush Hour x Rainbow Disco Club ADE

SAT 22.10.22 | 14:00 - 22:00
Antal RH
KAMMA & Masalo
Kikiorix
Palms Trax

This event is sold out. We're looking forward to seeing all of you on the dancefloor.",2022-10-06T15:02:39+0000,https://www.facebook.com/425421338250110/posts/1242031219922447/,98
425421338250110_1240449446747291,"Who's in for minimal grooves until the sun rises? Tickets for VBX x Sunrise ADE are running very low. This is your last chance if you want to join us on the dancefloor.

SAT 22.10.22 | 23.30 - 08.00 
Tickets available here: https://eventix.shop/43yezysj",2022-10-04T14:22:06+0000,https://www.facebook.com/425421338250110/posts/1240449446747291/,47
425421338250110_1237699530355616,"LAST INFO FOR PALET TODAY 🔴🟡🔵

Our Warehouse is more than ready for an outstanding indoor season. We’ll kick off with PALET today. Doors open at 17:00 and we will go on until 03:30. 

- Last tickets are available online and at the door until the event is sold out. Pin-only. 
- Lofi is a pin-only club. Cash payments are not accepted at the bar. 
- It’s not possible to leave and re-enter the venue again. - There are big and small lockers available which you can rent by scanning the QR code at the entrance. 
- There will be a selection of warm (vegan/meat) food options and snacks available inside. 
- Please bring and use ear protection. Earplugs are also available at the bar. 
- There are no cigarettes for sale inside. So come prepared.

Tickets available via: https://eventix.shop/yq6bzqq7",2022-10-01T08:02:31+0000,https://www.facebook.com/425421338250110/posts/1237699530355616/,63
425421338250110_1236387827153453,"This Saturday, PALET returns to our Warehouse for yet another colourful day and night session 🎨 Next to the regular program below, PALET also invited hutjemutje to host their wooden cabin somewhere at our venue. Discover this cabin and enjoy the day there from 17:00 - 23:00. 

RUNNING ORDER @paletamsterdam 
17:00 - 20:00 // Disko Dinozò 
20:00 - 21:00 // OISHī 
21:00 - 22:00 // Trippy Tins 
22:00 - 23:00 // Boris Coelman 
23:00 - 00:00 // BELLA 
00:00 - 01:00 // Kalle 
01:00 - 02:00 // Doppelgang 
02:00 - 03:30 // Marlon Hoffstadt aka DJ Daddy Trance 

Tickets available via: https://eventix.shop/yq6bzqq7",2022-09-29T15:24:16+0000,https://www.facebook.com/425421338250110/posts/1236387827153453/,48
